year,region,country,sector,instrument_type,amount_usd_mn
2020,East Asia & Pacific,Indonesia,Energy Efficiency,Grant,0.1
2018,East Asia & Pacific,Indonesia,Energy Efficiency,Grant,2.01
2017,East Asia & Pacific,Indonesia,Energy Efficiency,Grant,0.12
2016,East Asia & Pacific,Indonesia,Energy Efficiency,Grant,0.19
2015,East Asia & Pacific,Indonesia,Energy Efficiency,Grant,0.26
2013,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,3.59
2022,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,4.18
2021,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,4.45
2020,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,5.29
2019,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,5.31
2018,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,5.04
2017,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,3.8
2016,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,3.23
2015,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,3.23
2021,Europe & Central Asia,Turkey,Cross-cutting,Grant,3.18
2020,Europe & Central Asia,Turkey,Cross-cutting,Grant,2.27
2019,Europe & Central Asia,Turkey,Cross-cutting,Grant,0.86
2018,Europe & Central Asia,Turkey,Cross-cutting,Grant,1.41
2017,Europe & Central Asia,Turkey,Cross-cutting,Grant,6.32
2016,Europe & Central Asia,Turkey,Cross-cutting,Grant,5.18
2015,Europe & Central Asia,Turkey,Cross-cutting,Grant,4.53
2014,Europe & Central Asia,Turkey,Cross-cutting,Grant,2.1
2013,Europe & Central Asia,Turkey,Cross-cutting,Grant,2.63
2013,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,115.9
2022,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,822.19
2021,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,431.27
2020,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,794.47
2019,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,678.79
2018,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,595.17
2017,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,156.22
2015,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,7.08
2013,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,1.58
2022,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,0.46
2021,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,0.59
2020,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,1.88
2019,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,1.28
2018,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,1.16
2017,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,1.29
2016,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,0.4
2015,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,1.83
2017,Europe & Central Asia,Kazakhstan,Energy Efficiency,Grant,0.11
2017,Latin America & Caribbean,Chile,Energy Efficiency,Grant,0.01
2018,Latin America & Caribbean,Argentina,Cross-cutting,Grant,0.17
2022,Latin America & Caribbean,Argentina,Cross-cutting,Grant,0.02
2021,Latin America & Caribbean,Argentina,Cross-cutting,Grant,0.52
2020,Latin America & Caribbean,Argentina,Cross-cutting,Grant,0.18
2021,Latin America & Caribbean,Mexico,Cross-cutting,Grant,2.68
2018,Latin America & Caribbean,Mexico,Cross-cutting,Grant,2.46
2015,Latin America & Caribbean,Mexico,Cross-cutting,Grant,1.83
2021,South Asia,Bangladesh,Cross-cutting,Concessional Loan,4554.39
2020,South Asia,Bangladesh,Cross-cutting,Concessional Loan,4701.44
2019,South Asia,Bangladesh,Cross-cutting,Concessional Loan,3652.1
2018,South Asia,Bangladesh,Cross-cutting,Concessional Loan,3578.81
2017,South Asia,Bangladesh,Cross-cutting,Concessional Loan,3219.48
2016,South Asia,Bangladesh,Cross-cutting,Concessional Loan,2163.02
2015,South Asia,Bangladesh,Cross-cutting,Concessional Loan,2054.91
2014,South Asia,Bangladesh,Cross-cutting,Concessional Loan,1872.04
2013,South Asia,Bangladesh,Cross-cutting,Concessional Loan,1892.71
2013,East Asia & Pacific,Thailand,Climate Adaptation,Grant,7.18
2022,East Asia & Pacific,Thailand,Climate Adaptation,Grant,0.13
2021,East Asia & Pacific,Thailand,Climate Adaptation,Grant,0.25
2020,East Asia & Pacific,Thailand,Climate Adaptation,Grant,0.15
2018,East Asia & Pacific,Thailand,Climate Adaptation,Grant,0.05
2017,East Asia & Pacific,Thailand,Climate Adaptation,Grant,1.24
2016,East Asia & Pacific,Thailand,Climate Adaptation,Grant,1.66
2015,East Asia & Pacific,Thailand,Climate Adaptation,Grant,3.32
2015,Latin America & Caribbean,Colombia,Climate Adaptation,Grant,0.08
2022,Latin America & Caribbean,Colombia,Climate Adaptation,Grant,2.07
2021,Latin America & Caribbean,Colombia,Climate Adaptation,Grant,0.39
2020,Latin America & Caribbean,Colombia,Climate Adaptation,Grant,1.17
2018,Latin America & Caribbean,Colombia,Climate Adaptation,Grant,0.04
2017,Sub-Saharan Africa,Tanzania,Cross-cutting,Grant,0.07
2021,Sub-Saharan Africa,Tanzania,Cross-cutting,Grant,0.05
2020,Sub-Saharan Africa,Tanzania,Cross-cutting,Grant,0.04
2019,Sub-Saharan Africa,Tanzania,Cross-cutting,Grant,0.15
2014,Sub-Saharan Africa,Tanzania,Cross-cutting,Grant,181.01
2013,Sub-Saharan Africa,Tanzania,Cross-cutting,Grant,203.57
2022,Sub-Saharan Africa,Tanzania,Cross-cutting,Grant,47.83
2021,Sub-Saharan Africa,Tanzania,Cross-cutting,Grant,60.76
2020,Sub-Saharan Africa,Tanzania,Cross-cutting,Grant,115.9
2019,Sub-Saharan Africa,Tanzania,Cross-cutting,Grant,97.01
2018,Sub-Saharan Africa,Tanzania,Cross-cutting,Grant,143.22
2017,Sub-Saharan Africa,Tanzania,Cross-cutting,Grant,225.89
2016,Sub-Saharan Africa,Tanzania,Cross-cutting,Grant,115.25
2020,Sub-Saharan Africa,Kenya,Energy Efficiency,Grant,8.35
2019,Sub-Saharan Africa,Kenya,Energy Efficiency,Grant,9.47
2017,Sub-Saharan Africa,Kenya,Energy Efficiency,Grant,0.14
2016,Sub-Saharan Africa,Kenya,Energy Efficiency,Grant,0.17
2016,Latin America & Caribbean,Mexico,Cross-cutting,Concessional Loan,3.53
2013,East Asia & Pacific,Thailand,Cross-cutting,Grant,0.16
2022,East Asia & Pacific,Thailand,Cross-cutting,Grant,0.23
2021,East Asia & Pacific,Thailand,Cross-cutting,Grant,0.28
2020,East Asia & Pacific,Thailand,Cross-cutting,Grant,0.25
2019,East Asia & Pacific,Thailand,Cross-cutting,Grant,0.12
2018,East Asia & Pacific,Thailand,Cross-cutting,Grant,0.33
2017,East Asia & Pacific,Thailand,Cross-cutting,Grant,0.35
2016,East Asia & Pacific,Thailand,Cross-cutting,Grant,0.39
2015,East Asia & Pacific,Thailand,Cross-cutting,Grant,0.28
2020,Sub-Saharan Africa,Ghana,Climate Adaptation,Grant,2.9
2022,Sub-Saharan Africa,Ghana,Climate Adaptation,Grant,4.8
2013,East Asia & Pacific,Thailand,Cross-cutting,Grant,0.02
2015,East Asia & Pacific,Thailand,Cross-cutting,Grant,0.01
2021,Europe & Central Asia,Kazakhstan,Cross-cutting,Grant,1.0
2020,Latin America & Caribbean,Colombia,Cross-cutting,Concessional Loan,0.96
2017,Middle East & North Africa,Egypt,Cross-cutting,Grant,0.04
2022,Middle East & North Africa,Egypt,Cross-cutting,Grant,0.06
2021,Middle East & North Africa,Egypt,Cross-cutting,Grant,0.14
2020,Middle East & North Africa,Egypt,Cross-cutting,Grant,0.13
2019,Middle East & North Africa,Egypt,Cross-cutting,Grant,0.22
2013,Sub-Saharan Africa,Tanzania,Climate Adaptation,Grant,1.06
2022,Sub-Saharan Africa,Tanzania,Climate Adaptation,Grant,1.49
2021,Sub-Saharan Africa,Tanzania,Climate Adaptation,Grant,1.1
2020,Sub-Saharan Africa,Tanzania,Climate Adaptation,Grant,0.81
2019,Sub-Saharan Africa,Tanzania,Climate Adaptation,Grant,0.45
2018,Sub-Saharan Africa,Tanzania,Climate Adaptation,Grant,0.54
2017,Sub-Saharan Africa,Tanzania,Climate Adaptation,Grant,1.23
2016,Sub-Saharan Africa,Tanzania,Climate Adaptation,Grant,2.02
2015,Sub-Saharan Africa,Tanzania,Climate Adaptation,Grant,2.06
2015,South Asia,Sri Lanka,Cross-cutting,Concessional Loan,16.26
2014,South Asia,Sri Lanka,Cross-cutting,Concessional Loan,15.26
2013,South Asia,Sri Lanka,Cross-cutting,Concessional Loan,21.76
2022,South Asia,Sri Lanka,Cross-cutting,Concessional Loan,27.09
2021,South Asia,Sri Lanka,Cross-cutting,Concessional Loan,31.86
2020,South Asia,Sri Lanka,Cross-cutting,Concessional Loan,18.9
2019,South Asia,Sri Lanka,Cross-cutting,Concessional Loan,51.09
2018,South Asia,Sri Lanka,Cross-cutting,Concessional Loan,19.54
2017,South Asia,Sri Lanka,Cross-cutting,Concessional Loan,17.23
2013,Latin America & Caribbean,Argentina,Cross-cutting,Grant,2.86
2022,Latin America & Caribbean,Argentina,Cross-cutting,Grant,2.62
2021,Latin America & Caribbean,Argentina,Cross-cutting,Grant,2.77
2020,Latin America & Caribbean,Argentina,Cross-cutting,Grant,3.99
2019,Latin America & Caribbean,Argentina,Cross-cutting,Grant,4.18
2018,Latin America & Caribbean,Argentina,Cross-cutting,Grant,4.12
2017,Latin America & Caribbean,Argentina,Cross-cutting,Grant,3.76
2016,Latin America & Caribbean,Argentina,Cross-cutting,Grant,3.14
2015,Latin America & Caribbean,Argentina,Cross-cutting,Grant,2.83
2021,Latin America & Caribbean,Argentina,Energy Efficiency,Grant,0.16
2020,Latin America & Caribbean,Argentina,Energy Efficiency,Grant,0.12
2019,Latin America & Caribbean,Argentina,Energy Efficiency,Grant,0.36
2018,Latin America & Caribbean,Argentina,Energy Efficiency,Grant,0.06
2017,Latin America & Caribbean,Argentina,Energy Efficiency,Grant,0.28
2016,Latin America & Caribbean,Argentina,Energy Efficiency,Grant,0.17
2015,Latin America & Caribbean,Argentina,Energy Efficiency,Grant,0.27
2014,Latin America & Caribbean,Argentina,Energy Efficiency,Grant,0.02
2020,Middle East & North Africa,Tunisia,Energy Efficiency,Grant,2.49
2019,Middle East & North Africa,Tunisia,Energy Efficiency,Grant,7.02
2018,Middle East & North Africa,Tunisia,Energy Efficiency,Grant,0.5
2017,Middle East & North Africa,Tunisia,Energy Efficiency,Grant,1.39
2016,Middle East & North Africa,Tunisia,Energy Efficiency,Grant,2.64
2015,Middle East & North Africa,Tunisia,Energy Efficiency,Grant,0.79
2014,Middle East & North Africa,Tunisia,Energy Efficiency,Grant,1.53
2013,Middle East & North Africa,Tunisia,Energy Efficiency,Grant,0.35
2022,Middle East & North Africa,Tunisia,Energy Efficiency,Grant,17.82
2021,South Asia,Sri Lanka,Climate Adaptation,Grant,0.01
2020,South Asia,Sri Lanka,Climate Adaptation,Grant,0.15
2019,South Asia,Sri Lanka,Climate Adaptation,Grant,0.89
2018,South Asia,Sri Lanka,Climate Adaptation,Grant,1.29
2017,South Asia,Sri Lanka,Climate Adaptation,Grant,0.52
2016,South Asia,Sri Lanka,Climate Adaptation,Grant,2.48
2015,South Asia,Sri Lanka,Climate Adaptation,Grant,0.42
2014,South Asia,Sri Lanka,Climate Adaptation,Grant,2.71
2013,South Asia,Sri Lanka,Climate Adaptation,Grant,2.26
2013,Sub-Saharan Africa,Ethiopia,Energy Efficiency,Grant,3.63
2022,Sub-Saharan Africa,Ethiopia,Energy Efficiency,Grant,44.86
2021,Sub-Saharan Africa,Ethiopia,Energy Efficiency,Grant,14.61
2020,Sub-Saharan Africa,Ethiopia,Energy Efficiency,Grant,13.95
2019,Sub-Saharan Africa,Ethiopia,Energy Efficiency,Grant,16.42
2018,Sub-Saharan Africa,Ethiopia,Energy Efficiency,Grant,31.22
2017,Sub-Saharan Africa,Ethiopia,Energy Efficiency,Grant,12.2
2016,Sub-Saharan Africa,Ethiopia,Energy Efficiency,Grant,33.45
2015,Sub-Saharan Africa,Ethiopia,Energy Efficiency,Grant,2.23
2022,Middle East & North Africa,Tunisia,Cross-cutting,Grant,606.58
2021,Middle East & North Africa,Tunisia,Cross-cutting,Grant,767.02
2020,Middle East & North Africa,Tunisia,Cross-cutting,Grant,668.19
2019,Middle East & North Africa,Tunisia,Cross-cutting,Grant,733.88
2018,Middle East & North Africa,Tunisia,Cross-cutting,Grant,428.84
2017,Middle East & North Africa,Tunisia,Cross-cutting,Grant,386.93
2016,Middle East & North Africa,Tunisia,Cross-cutting,Grant,285.16
2015,Middle East & North Africa,Tunisia,Cross-cutting,Grant,190.46
2014,Middle East & North Africa,Tunisia,Cross-cutting,Grant,220.11
2013,East Asia & Pacific,Vietnam,Cross-cutting,Grant,23.13
2022,East Asia & Pacific,Vietnam,Cross-cutting,Grant,4.62
2021,East Asia & Pacific,Vietnam,Cross-cutting,Grant,8.16
2020,East Asia & Pacific,Vietnam,Cross-cutting,Grant,6.1
2019,East Asia & Pacific,Vietnam,Cross-cutting,Grant,15.64
2018,East Asia & Pacific,Vietnam,Cross-cutting,Grant,29.81
2017,East Asia & Pacific,Vietnam,Cross-cutting,Grant,17.08
2016,East Asia & Pacific,Vietnam,Cross-cutting,Grant,15.05
2015,East Asia & Pacific,Vietnam,Cross-cutting,Grant,14.52
2021,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,0.41
2020,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,0.1
2018,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,0.83
2017,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,1.23
2022,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,1.9
2021,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,1.91
2020,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,0.88
2016,Sub-Saharan Africa,Kenya,Climate Adaptation,Grant,0.07
2015,Sub-Saharan Africa,Kenya,Climate Adaptation,Grant,0.05
2014,Sub-Saharan Africa,Kenya,Climate Adaptation,Grant,0.16
2013,Sub-Saharan Africa,Kenya,Climate Adaptation,Grant,1.63
2022,Sub-Saharan Africa,Kenya,Climate Adaptation,Grant,3.89
2021,Sub-Saharan Africa,Kenya,Climate Adaptation,Grant,0.8
2020,Sub-Saharan Africa,Kenya,Climate Adaptation,Grant,0.58
2019,Sub-Saharan Africa,Kenya,Climate Adaptation,Grant,0.24
2018,Sub-Saharan Africa,Kenya,Climate Adaptation,Grant,0.4
2013,Middle East & North Africa,Egypt,Cross-cutting,Concessional Loan,3092.95
2022,Middle East & North Africa,Egypt,Cross-cutting,Concessional Loan,1552.67
2021,Middle East & North Africa,Egypt,Cross-cutting,Concessional Loan,3348.63
2020,Middle East & North Africa,Egypt,Cross-cutting,Concessional Loan,2246.51
2019,Middle East & North Africa,Egypt,Cross-cutting,Concessional Loan,2401.35
2018,Middle East & North Africa,Egypt,Cross-cutting,Concessional Loan,2640.76
2017,Middle East & North Africa,Egypt,Cross-cutting,Concessional Loan,1169.24
2016,Middle East & North Africa,Egypt,Cross-cutting,Concessional Loan,2942.85
2015,Middle East & North Africa,Egypt,Cross-cutting,Concessional Loan,2687.12
2015,Sub-Saharan Africa,Tanzania,Cross-cutting,Concessional Loan,602.31
2014,Sub-Saharan Africa,Tanzania,Cross-cutting,Concessional Loan,629.61
2013,Sub-Saharan Africa,Tanzania,Cross-cutting,Concessional Loan,706.83
2022,Sub-Saharan Africa,Tanzania,Cross-cutting,Concessional Loan,1226.8
2021,Sub-Saharan Africa,Tanzania,Cross-cutting,Concessional Loan,490.73
2020,Sub-Saharan Africa,Tanzania,Cross-cutting,Concessional Loan,490.34
2019,Sub-Saharan Africa,Tanzania,Cross-cutting,Concessional Loan,553.52
2018,Sub-Saharan Africa,Tanzania,Cross-cutting,Concessional Loan,567.45
2017,Sub-Saharan Africa,Tanzania,Cross-cutting,Concessional Loan,561.33
2013,Latin America & Caribbean,Colombia,Cross-cutting,Concessional Loan,6.3
2019,Latin America & Caribbean,Colombia,Cross-cutting,Concessional Loan,5.33
2017,Latin America & Caribbean,Colombia,Cross-cutting,Concessional Loan,1.09
2022,South Asia,Bangladesh,Energy Efficiency,Grant,0.02
2021,South Asia,Bangladesh,Energy Efficiency,Grant,0.02
2020,South Asia,Bangladesh,Energy Efficiency,Grant,0.01
2019,South Asia,Bangladesh,Energy Efficiency,Grant,0.06
2017,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,0.31
2022,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,2.09
2021,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,0.94
2020,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,1.39
2019,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,0.53
2013,Europe & Central Asia,Kazakhstan,Cross-cutting,Concessional Loan,33.88
2020,Sub-Saharan Africa,Nigeria,Cross-cutting,Concessional Loan,28.87
2019,Sub-Saharan Africa,Nigeria,Cross-cutting,Concessional Loan,75.85
2018,Sub-Saharan Africa,Nigeria,Cross-cutting,Concessional Loan,71.36
2017,Sub-Saharan Africa,Nigeria,Cross-cutting,Concessional Loan,48.59
2016,Sub-Saharan Africa,Nigeria,Cross-cutting,Concessional Loan,55.01
2015,Sub-Saharan Africa,Nigeria,Cross-cutting,Concessional Loan,102.86
2014,Sub-Saharan Africa,Nigeria,Cross-cutting,Concessional Loan,33.51
2013,Sub-Saharan Africa,Nigeria,Cross-cutting,Concessional Loan,158.31
2022,Sub-Saharan Africa,Nigeria,Cross-cutting,Concessional Loan,47.84
2019,Sub-Saharan Africa,Nigeria,Climate Adaptation,Grant,10.7
2018,Sub-Saharan Africa,Nigeria,Climate Adaptation,Grant,5.22
2017,Sub-Saharan Africa,Nigeria,Climate Adaptation,Grant,6.12
2016,Sub-Saharan Africa,Nigeria,Climate Adaptation,Grant,6.77
2015,Sub-Saharan Africa,Nigeria,Climate Adaptation,Grant,4.05
2014,Sub-Saharan Africa,Nigeria,Climate Adaptation,Grant,6.27
2013,Sub-Saharan Africa,Nigeria,Climate Adaptation,Grant,2.6
2022,Sub-Saharan Africa,Nigeria,Climate Adaptation,Grant,9.48
2021,Sub-Saharan Africa,Nigeria,Climate Adaptation,Grant,11.17
2013,Latin America & Caribbean,Chile,Cross-cutting,Grant,1.26
2017,Latin America & Caribbean,Chile,Cross-cutting,Grant,3.51
2016,Latin America & Caribbean,Chile,Cross-cutting,Grant,5.46
2015,Latin America & Caribbean,Chile,Cross-cutting,Grant,3.55
2021,Europe & Central Asia,Ukraine,Cross-cutting,Grant,1.02
2019,Europe & Central Asia,Ukraine,Cross-cutting,Grant,1.71
2018,Europe & Central Asia,Ukraine,Cross-cutting,Grant,1.15
2017,Europe & Central Asia,Ukraine,Cross-cutting,Grant,0.25
2016,Europe & Central Asia,Ukraine,Cross-cutting,Grant,0.2
2015,Europe & Central Asia,Ukraine,Cross-cutting,Grant,0.31
2014,Europe & Central Asia,Ukraine,Cross-cutting,Grant,0.13
2013,Europe & Central Asia,Ukraine,Cross-cutting,Grant,0.2
2022,Middle East & North Africa,Jordan,Cross-cutting,Grant,1.13
2021,Middle East & North Africa,Jordan,Cross-cutting,Grant,2.44
2020,Middle East & North Africa,Jordan,Cross-cutting,Grant,1.17
2019,Middle East & North Africa,Jordan,Cross-cutting,Grant,1.37
2018,Middle East & North Africa,Jordan,Cross-cutting,Grant,3.74
2017,Middle East & North Africa,Jordan,Cross-cutting,Grant,4.48
2016,Middle East & North Africa,Jordan,Cross-cutting,Grant,11.54
2015,Middle East & North Africa,Jordan,Cross-cutting,Grant,5.66
2021,East Asia & Pacific,China,Energy Efficiency,Grant,1.33
2020,East Asia & Pacific,China,Energy Efficiency,Grant,1.2
2019,East Asia & Pacific,China,Energy Efficiency,Grant,1.17
2018,East Asia & Pacific,China,Energy Efficiency,Grant,1.19
2017,East Asia & Pacific,China,Energy Efficiency,Grant,0.31
2016,East Asia & Pacific,China,Energy Efficiency,Grant,0.54
2015,East Asia & Pacific,China,Energy Efficiency,Grant,0.2
2014,East Asia & Pacific,China,Energy Efficiency,Grant,0.47
2013,East Asia & Pacific,China,Energy Efficiency,Grant,0.38
2013,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,102.34
2022,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,158.04
2021,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,228.78
2020,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,127.64
2019,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,87.66
2018,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,121.8
2017,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,86.63
2016,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,78.9
2015,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,108.11
2020,South Asia,Nepal,Energy Efficiency,Grant,2.66
2019,South Asia,Nepal,Energy Efficiency,Grant,1.79
2018,South Asia,Nepal,Energy Efficiency,Grant,0.22
2017,South Asia,Nepal,Energy Efficiency,Grant,0.02
2016,South Asia,Nepal,Energy Efficiency,Grant,0.1
2015,South Asia,Nepal,Energy Efficiency,Grant,0.19
2014,South Asia,Nepal,Energy Efficiency,Grant,0.13
2013,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,2.71
2022,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,10.96
2021,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,11.34
2020,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,9.92
2017,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,15.42
2016,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,12.22
2016,South Asia,Sri Lanka,Cross-cutting,Grant,0.03
2018,Europe & Central Asia,Kazakhstan,Cross-cutting,Grant,0.49
2017,Europe & Central Asia,Kazakhstan,Cross-cutting,Grant,0.07
2016,Europe & Central Asia,Kazakhstan,Cross-cutting,Grant,0.11
2015,Europe & Central Asia,Kazakhstan,Cross-cutting,Grant,0.08
2014,Europe & Central Asia,Kazakhstan,Cross-cutting,Grant,0.09
2013,Europe & Central Asia,Kazakhstan,Cross-cutting,Grant,0.16
2022,Europe & Central Asia,Kazakhstan,Cross-cutting,Grant,0.57
2021,Europe & Central Asia,Kazakhstan,Cross-cutting,Grant,0.51
2020,Europe & Central Asia,Kazakhstan,Cross-cutting,Grant,0.22
2013,Middle East & North Africa,Morocco,Energy Efficiency,Grant,0.1
2022,Middle East & North Africa,Morocco,Energy Efficiency,Grant,0.11
2015,Middle East & North Africa,Morocco,Energy Efficiency,Grant,0.05
2021,East Asia & Pacific,Vietnam,Cross-cutting,Grant,0.02
2016,Europe & Central Asia,Turkey,Cross-cutting,Grant,88.5
2015,Europe & Central Asia,Turkey,Cross-cutting,Grant,32.8
2014,Europe & Central Asia,Turkey,Cross-cutting,Grant,53.12
2013,Europe & Central Asia,Turkey,Cross-cutting,Grant,105.24
2019,Europe & Central Asia,Turkey,Cross-cutting,Grant,45.05
2018,Europe & Central Asia,Turkey,Cross-cutting,Grant,7.67
2018,Europe & Central Asia,Turkey,Cross-cutting,Grant,13.08
2017,Europe & Central Asia,Turkey,Cross-cutting,Grant,48.69
2016,Europe & Central Asia,Turkey,Cross-cutting,Grant,28.84
2015,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,357.37
2014,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,370.18
2013,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,425.41
2022,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,441.85
2021,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,325.44
2020,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,330.85
2019,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,305.78
2018,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,266.09
2017,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,405.42
2017,South Asia,India,Cross-cutting,Grant,0.58
2022,South Asia,India,Cross-cutting,Grant,0.85
2021,South Asia,India,Cross-cutting,Grant,2.95
2020,South Asia,India,Cross-cutting,Grant,2.78
2019,South Asia,India,Cross-cutting,Grant,3.18
2020,South Asia,Bangladesh,Cross-cutting,Concessional Loan,247.61
2015,South Asia,Bangladesh,Cross-cutting,Concessional Loan,255.82
2014,South Asia,Bangladesh,Cross-cutting,Concessional Loan,138.94
2013,Sub-Saharan Africa,Kenya,Cross-cutting,Concessional Loan,19.07
2022,Sub-Saharan Africa,Kenya,Cross-cutting,Concessional Loan,29.71
2021,Sub-Saharan Africa,Kenya,Cross-cutting,Concessional Loan,23.69
2020,Sub-Saharan Africa,Kenya,Cross-cutting,Concessional Loan,9.63
2019,Sub-Saharan Africa,Kenya,Cross-cutting,Concessional Loan,21.92
2018,Sub-Saharan Africa,Kenya,Cross-cutting,Concessional Loan,18.89
2017,Sub-Saharan Africa,Kenya,Cross-cutting,Concessional Loan,24.52
2016,Sub-Saharan Africa,Kenya,Cross-cutting,Concessional Loan,9.1
2015,Sub-Saharan Africa,Kenya,Cross-cutting,Concessional Loan,8.61
2013,Sub-Saharan Africa,Kenya,Climate Adaptation,Grant,1.93
2022,Sub-Saharan Africa,Kenya,Climate Adaptation,Grant,1.05
2021,Sub-Saharan Africa,Kenya,Climate Adaptation,Grant,0.04
2017,South Asia,Nepal,Cross-cutting,Grant,0.33
2022,South Asia,Nepal,Cross-cutting,Grant,0.22
2021,South Asia,Nepal,Cross-cutting,Grant,0.22
2019,South Asia,Nepal,Cross-cutting,Grant,0.2
2013,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,27.76
2022,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,13.42
2021,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,20.65
2020,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,20.53
2019,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,17.95
2018,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,17.76
2017,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,19.34
2016,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,12.64
2015,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,18.51
2013,South Asia,Bangladesh,Cross-cutting,Concessional Loan,6.79
2022,South Asia,Bangladesh,Cross-cutting,Concessional Loan,28.22
2021,South Asia,Bangladesh,Cross-cutting,Concessional Loan,54.06
2020,South Asia,Bangladesh,Cross-cutting,Concessional Loan,22.67
2019,South Asia,Bangladesh,Cross-cutting,Concessional Loan,41.19
2018,South Asia,Bangladesh,Cross-cutting,Concessional Loan,125.0
2017,South Asia,Bangladesh,Cross-cutting,Concessional Loan,57.33
2016,South Asia,Bangladesh,Cross-cutting,Concessional Loan,99.22
2015,South Asia,Bangladesh,Cross-cutting,Concessional Loan,34.88
2013,Sub-Saharan Africa,Tanzania,Energy Efficiency,Grant,0.46
2022,Sub-Saharan Africa,Tanzania,Energy Efficiency,Grant,0.42
2020,Sub-Saharan Africa,Tanzania,Energy Efficiency,Grant,0.86
2019,Sub-Saharan Africa,Tanzania,Energy Efficiency,Grant,0.77
2018,Sub-Saharan Africa,Tanzania,Energy Efficiency,Grant,0.67
2017,Sub-Saharan Africa,Tanzania,Energy Efficiency,Grant,0.73
2016,Sub-Saharan Africa,Tanzania,Energy Efficiency,Grant,0.81
2015,Sub-Saharan Africa,Tanzania,Energy Efficiency,Grant,1.02
2013,Middle East & North Africa,Morocco,Cross-cutting,Grant,6.29
2022,Middle East & North Africa,Morocco,Cross-cutting,Grant,3.26
